callback({"list": name,position,team
Jamison Crowder,WR,Washington Redskins
Isaiah Crowell,RB,Cleveland Browns
Eric Crume,DT,Carolina Panthers
A.J. Cruz,WR,Miami Dolphins
Victor Cruz,WR,New York Giants
Yannik Cudjoe-Virgil,LB,Tennessee Titans
Chris Culliver,CB,Washington Redskins
Jeff Cumberland,TE,San Diego Chargers
Benny Cunningham,RB,Los Angeles Rams
Jerome Cunningham,TE,New York Giants
Justice Cunningham,TE,Los Angeles Rams
Justin Currie,S,New York Giants
Vinny Curry,DE,Philadelphia Eagles
Brian Cushing,LB,Houston Texans
Jay Cutler,QB,Chicago Bears
Johnathan Cyprien,S,Jacksonville Jaguars
Anthony Dable,WR,New York Giants
Andy Dalton,QB,Cincinnati Bengals
Jordan Dangerfield,S,Pittsburgh Steelers
Chase Daniel,QB,Philadelphia Eagles
Robertson Daniel,CB,Green Bay Packers
B.J. Daniels,QB,Houston Texans
Matt Daniels,S,San Diego Chargers
Mike Daniels,DT,Green Bay Packers
Karlos Dansby,LB,Cincinnati Bengals
Alden Darby,S,New Orleans Saints
Ronald Darby,CB,Buffalo Bills
Marcell Dareus,DT,Buffalo Bills
Orleans Darkwa,RB,New York Giants
Matt Darr,P,Miami Dolphins
Lavonte David,LB,Tampa Bay Buccaneers
Akeem Davis,S,Indianapolis Colts
Andre Davis,WR,Tampa Bay Buccaneers
Austin Davis,QB,Cleveland Browns
Carl Davis,DT,Baltimore Ravens
Chris Davis,CB,San Francisco 49ers
Cody Davis,S,Los Angeles Rams
Demario Davis,LB,Cleveland Browns
Dominique Davis,DE,Kansas City Chiefs
Geremy Davis,WR,New York Giants
Jesse Davis,T,New York Jets
Kellen Davis,TE,New York Jets
Knile Davis,RB,Kansas City Chiefs
Mike Davis,RB,San Francisco 49ers
Ryan Davis,DE,Jacksonville Jaguars
Thomas Davis,LB,Carolina Panthers
Titus Davis,WR,New York Jets
Todd Davis,LB,Denver Broncos
Tyler Davis,WR,Miami Dolphins
Vernon Davis,TE,Washington Redskins
Vontae Davis,CB,Indianapolis Colts
Will Davis,CB,Baltimore Ravens
Tyeler Davison,DT,New Orleans Saints
P.J. Dawson,LB,Cincinnati Bengals
Phil Dawson,K,San Francisco 49ers
Dillon Day,C,Denver Broncos
Andre Debose,WR,Oakland Raiders
David DeCastro,G,Pittsburgh Steelers
Eric Decker,WR,New York Jets
Ryan Delaire,DE,Carolina Panthers
Quintin Demps,S,Houston Texans
Anthony Denham,TE,Houston Texans
Darqueze Dennard,CB,Cincinnati Bengals
John Denney,DE,Miami Dolphins
Akeem Dent,LB,Houston Texans
Zak DeOssie,LB,New York Giants
Andrew DePaola,TE,Tampa Bay Buccaneers
A.J. Derby,TE,New England Patriots
Pierre Desir,CB,Cleveland Browns
James Develin,RB,New England Patriots
